ID;SKU;Estado;Visible en tienda;Línea;Categoría;Subcategoría;Nombre;Marca;Precio;Disponibilidad;Descripción;Talla;Color;Etiqueta;Carpeta categoría;Carpeta producto;Imágenes;Registro fotográfico visible;Cantidad de fotografías
B106;BC-069;Activo;No;Beauty Care;Maquillaje / ojos;Delineador;Delineador de ojo;Bloomshell;12000;Disponible / por confirmar;Bloom Black Eyeliner Pencil de Bloomshell es un lápiz delineador negro para definir el contorno de los ojos y crear trazos según el estilo de maquillaje. Su formato tipo lápiz resulta práctico para looks desde discretos hasta más marcados. Confirma disponibilidad con LIHEN.CO antes de realizar tu pedido.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B98;BC-013;Activo;No;Beauty Care;Maquillaje / rostro;Fijador;Bloom fix fijador;Bloomshell;0;Disponible;Bloom Fix Fijador de Bloomshell pertenece a la categoría de sellantes de maquillaje de la marca. Está pensado como un paso final dentro de la rutina para complementar el acabado del maquillaje. Confirma con LIHEN.CO la presentación disponible y las indicaciones del envase antes de usarlo.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B107;BC-019;Activo;No;Beauty Care;Maquillaje / ojos;Fijador;Fijador de cejas Bloom;Bloomshell;18000;Disponible;Fijador de cejas Bloom de Bloomshell, producto pensado para complementar la preparación o el acabado del maquillaje según su función específica. Es un paso práctico dentro de la rutina para quienes buscan organizar mejor la aplicación de sus productos. Confirma con LIHEN.CO la presentación disponible y sigue las indicaciones del fabricante.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B108;BC-068;Activo;No;Beauty Care;Maquillaje / ojos;Lapiz;Lapiz de cejas;Bloomshell;11000;Disponible;Lapiz de cejas de Bloomshell, referencia de maquillaje pensada para definir y dar mayor intención a los trazos en ojos o cejas, según la categoría del producto. Su formato permite incorporarlo tanto a looks cotidianos como a maquillajes más marcados. Confirma la variante y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B99;BC-012;Activo;No;Beauty Care;Skincare / rostro;Primer;Bloom Jelly primer;Bloomshell;33000;Disponible;Bloom Jelly primer de Bloomshell, producto pensado para complementar la preparación o el acabado del maquillaje según su función específica. Es un paso práctico dentro de la rutina para quienes buscan organizar mejor la aplicación de sus productos. Confirma con LIHEN.CO la presentación disponible y sigue las indicaciones del fabricante.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B110;BC-016;Activo;No;Beauty Care;Maquillaje / rostro;Rubor;Rubor liquido tono 01 cupido;Bloomshell;22000;Disponible;Rubor liquido tono 01 cupido de Bloomshell, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. La referencia corresponde a 01 cupido. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B109;BC-071;Activo;No;Beauty Care;Accesorios Beauty Care;Set;Set de brochas;Bloomshell;26500;Disponible;Set de brochas de Bloomshell, accesorio de belleza pensado para facilitar tareas de aplicación, difuminado o arreglo dentro de la rutina personal, según el tipo de herramienta. Su formato práctico permite complementar los productos que ya utilizas. Revisa la referencia y confirma disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B101;BC-075;Activo;No;Beauty Care;Maquillaje / ojos;Sombras;Bloomshell Luxu;Bloomshell;42000;Disponible;Bloomshell Luxu de Bloomshell, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B100;BC-028;Activo;No;Beauty Care;Maquillaje / labios;Tinta;Bloom tinta aqua;Bloomshell;15000;Disponible;Bloom tinta aqua de Bloomshell, producto para labios pensado para aportar color, brillo o definición según su formato específico. Puede integrarse fácilmente a un maquillaje diario o utilizarse como detalle final del look. Confirma con LIHEN.CO el tono, acabado y disponibilidad de esta referencia.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B77;;Activo;Sí;Beauty Care;Maquillaje / producto por confirmar;;Bloom Capuchic;Bloomshell;18000;Disponible / por confirmar;Bloom Capuchic de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / producto por confirmar. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_capuchic;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_capuchic/bloom_bloom_capuchic_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_capuchic/bloom_bloom_capuchic_1.webp;Sí;2
B71;;Activo;Sí;Beauty Care;Maquillaje / producto por confirmar;;Bloom Cosmic;Bloomshell;34000;Disponible / por confirmar;Bloom Cosmic de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / producto por confirmar. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_cosmic;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_cosmic/bloom_bloom_cosmic_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_cosmic/bloom_bloom_cosmic_1.webp;Sí;2
B76;;Activo;Sí;Beauty Care;Maquillaje / producto con brillo;;Bloom Dolce Destello;Bloomshell;25000;Disponible / por confirmar;Bloom Dolce Destello de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / producto con brillo. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_dolce_destello;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_dolce_destello/bloom_bloom_dolce_destello_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_dolce_destello/bloom_bloom_dolce_destello_1.webp;Sí;2
B84;;Activo;Sí;Beauty Care;Maquillaje / jelly;;Bloom Jelly Fusion;Bloomshell;32900;Disponible / por confirmar;Bloom Jelly Fusion de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / jelly. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_jelly_fusion;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_jelly_fusion/bloom_bloom_jelly_fusion_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_jelly_fusion/bloom_bloom_jelly_fusion_1.webp;Sí;2
B80;;Activo;Sí;Beauty Care;Maquillaje / producto por confirmar;;Bloom Pop Mimosa;Bloomshell;25000;Disponible / por confirmar;Bloom Pop Mimosa de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / producto por confirmar. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_pop_mimosa;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_pop_mimosa/bloom_bloom_pop_mimosa_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_pop_mimosa/bloom_bloom_pop_mimosa_1.webp;Sí;2
B72;;Activo;Sí;Beauty Care;Maquillaje / producto por confirmar;;Bloom Ultra Blendi;Bloomshell;13500;Disponible / por confirmar;Bloom Ultra Blendi de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / producto por confirmar. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_ultra_blendi;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_ultra_blendi/bloom_bloom_ultra_blendi_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_ultra_blendi/bloom_bloom_ultra_blendi_10.webp;Sí;2
B81;;Activo;Sí;Beauty Care;Maquillaje / paleta o producto multiuso;;Bloom Vibes;Bloomshell;43000;Disponible / por confirmar;Bloom Vibes de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje / paleta o producto multiuso. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje;bloom_bloom_vibes;./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_vibes/bloom_bloom_vibes_0.webp|./assets/productos/BEAUTY_CARE/maquillaje/bloom_bloom_vibes/bloom_bloom_vibes_1.webp;Sí;2
B78;;Activo;Sí;Beauty Care;Maquillaje de cejas / laminador;;Bloom Lamination XL;Bloomshell;25000;Disponible / por confirmar;Bloom Lamination XL de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje de cejas / laminador. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_cejas;bloom_bloom_lamination_xl;./assets/productos/BEAUTY_CARE/maquillaje_de_cejas/bloom_bloom_lamination_xl/bloom_bloom_lamination_xl_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_cejas/bloom_bloom_lamination_xl/bloom_bloom_lamination_xl_1.webp;Sí;2
B79;;Activo;Sí;Beauty Care;Maquillaje de labios / producto labial;;Bloom Latte Kiss;Bloomshell;22000;Disponible / por confirmar;Bloom Latte Kiss de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje de labios / producto labial. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_labios;bloom_bloom_latte_kiss;./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_latte_kiss/bloom_bloom_latte_kiss_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_latte_kiss/bloom_bloom_latte_kiss_1.webp;Sí;2
B75;;Activo;Sí;Beauty Care;Maquillaje de labios / gloss;;Bloom Lumi Gloss;Bloomshell;18500;Disponible / por confirmar;Bloom Lumi Gloss de Bloomshell, producto para labios pensado para aportar color, brillo o definición según su formato específico. Puede integrarse fácilmente a un maquillaje diario o utilizarse como detalle final del look. Confirma con LIHEN.CO el tono, acabado y disponibilidad de esta referencia.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_labios;bloom_bloom_lumi_gloss;./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_lumi_gloss/bloom_bloom_lumi_gloss_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/bloom_bloom_lumi_gloss/bloom_bloom_lumi_gloss_1.webp;Sí;2
B73;;Activo;Sí;Beauty Care;Maquillaje de labios y mejillas / tinta hidratante;;Bloom Hydratint;Bloomshell;18000;Disponible / por confirmar;Bloom Hydratint de Bloomshell, producto para labios pensado para aportar color, brillo o definición según su formato específico. Puede integrarse fácilmente a un maquillaje diario o utilizarse como detalle final del look. Confirma con LIHEN.CO el tono, acabado y disponibilidad de esta referencia.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_labios_y_mejillas;bloom_bloom_hydratint;./assets/productos/BEAUTY_CARE/maquillaje_de_labios_y_mejillas/bloom_bloom_hydratint/bloom_bloom_hydratint_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios_y_mejillas/bloom_bloom_hydratint/bloom_bloom_hydratint_1.webp;Sí;2
B85;;Activo;Sí;Beauty Care;Maquillaje de ojos / pestañina o producto de rizado;;Bloom Amore Curl;Bloomshell;15000;Disponible / por confirmar;Bloom Amore Curl de Bloomshell, pestañina para destacar la mirada y complementar el maquillaje de ojos. Está pensada para definir visualmente las pestañas y acompañar distintos estilos de maquillaje, desde un acabado cotidiano hasta uno más intenso. Confirma con LIHEN.CO la referencia disponible antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_ojos;bloom_bloom_amore_curl;./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_bloom_amore_curl/bloom_bloom_amore_curl_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_bloom_amore_curl/bloom_bloom_amore_curl_1.webp;Sí;2
B70;;Activo;Sí;Beauty Care;Maquillaje de ojos / pestañina;;Pestañina Lash Waterproof;Bloomshell;25000;Disponible / por confirmar;Pestañina Lash Waterproof de Bloomshell, pestañina para destacar la mirada y complementar el maquillaje de ojos. Está pensada para definir visualmente las pestañas y acompañar distintos estilos de maquillaje, desde un acabado cotidiano hasta uno más intenso. Confirma con LIHEN.CO la referencia disponible antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_de_ojos;bloom_pestanina_lash_waterproof;./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_pestanina_lash_waterproof/bloom_pestanina_lash_waterproof_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_ojos/bloom_pestanina_lash_waterproof/bloom_pestanina_lash_waterproof_1.webp;Sí;2
B82;;Activo;Sí;Beauty Care;Maquillaje facial / papel matificante o polvo;;Bloom Powder Paper;Bloomshell;25000;Disponible / por confirmar;Bloom Powder Paper de Bloomshell, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_facial;bloom_bloom_powder_paper;./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_bloom_powder_paper/bloom_bloom_powder_paper_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_bloom_powder_paper/bloom_bloom_powder_paper_1.webp;Sí;2
B69;;Activo;Sí;Beauty Care;Maquillaje facial / corrector;;Corrector Neutralizante Bloom;Bloomshell;25000;Disponible / por confirmar;Corrector Neutralizante Bloom de Bloomshell, corrector de maquillaje para complementar la preparación del rostro y trabajar un acabado más uniforme según la técnica de aplicación. Combínalo con el resto de tu rutina de maquillaje y confirma con LIHEN.CO que el tono disponible corresponda a lo que buscas.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_facial;bloom_corrector_neutralizante_bloom;./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_corrector_neutralizante_bloom/bloom_corrector_neutralizante_bloom_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_corrector_neutralizante_bloom/bloom_corrector_neutralizante_bloom_1.webp;Sí;2
B74;;Activo;Sí;Beauty Care;Maquillaje facial / polvo compacto;;Polvo Compacto Bloom;Bloomshell;32000;Disponible / por confirmar;Polvo Compacto Bloom de Bloomshell, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_facial;bloom_polvo_compacto_bloom;./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_polvo_compacto_bloom/bloom_polvo_compacto_bloom_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_facial/bloom_polvo_compacto_bloom/bloom_polvo_compacto_bloom_1.webp;Sí;2
B83;;Activo;Sí;Beauty Care;Maquillaje o cuidado de labios / producto por confirmar;;Bloom Aqua Fruit;Bloomshell;19000;Disponible / por confirmar;Bloom Aqua Fruit de Bloomshell, referencia disponible en el catálogo de LIHEN.CO dentro de Maquillaje o cuidado de labios / producto por confirmar. La información pública se mantiene deliberadamente prudente cuando no existe una ficha oficial suficientemente específica. Revisa las fotografías disponibles y confirma presentación, variante y disponibilidad antes de realizar tu pedido.;Por confirmar;Por confirmar;Producto confirmado;maquillaje_o_cuidado_de_labios;bloom_bloom_aqua_fruit;./assets/productos/BEAUTY_CARE/maquillaje_o_cuidado_de_labios/bloom_bloom_aqua_fruit/bloom_bloom_aqua_fruit_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_o_cuidado_de_labios/bloom_bloom_aqua_fruit/bloom_bloom_aqua_fruit_1.webp;Sí;2
B90;BC-043;Activo;Sí;Beauty Care;Maquillaje / labios;Lip;Lip duo tono SANGRIA;Destiny by La Segura;45000;Disponible;Dúo Lip Liner & Gloss Destiny by La Segura, ideal para lograr un acabado definido y luminoso. Incluye lip gloss de textura ligera con brillo sutil y un delineador de aplicación precisa que ayuda a perfilar y complementar el maquillaje de labios. Disponible en seis tonos.;Dúo;Fairy Dust, Berry Fondue, Litchi Honey, Sangria Kiss, Tropical Lust y Velvet Cherry;Nuevo ingreso;maquillaje_de_labios;duo_lip_liner_gloss_destiny;./assets/productos/BEAUTY_CARE/maquillaje_de_labios/duo_lip_liner_gloss_destiny/duo_lip_liner_gloss_destiny_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/duo_lip_liner_gloss_destiny/duo_lip_liner_gloss_destiny_1.webp;Sí;2
B112;BC-045;Activo;No;Beauty Care;Maquillaje / labios;Lip;Lip gloss tono FONDUE;Destiny by La Segura;30000;Disponible;"Lip Gloss Destiny en tono Berry Fondue, una referencia de brillo labial de textura ligera con acabado luminoso y toque de color. La marca indica una fórmula con aceites de macadamia, jojoba y girasol, además de escualano, pensada para dejar una sensación confortable. Puede usarse solo o sobre labial; confirma disponibilidad del tono Berry Fondue.";Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B113;BC-044;Activo;No;Beauty Care;Maquillaje / labios;Lip;Lip gloss tono HONEY;Destiny by La Segura;30000;Disponible;"Lip Gloss Destiny en tono Litchi Honey, una referencia de brillo labial de textura ligera con acabado luminoso y toque de color. La marca indica una fórmula con aceites de macadamia, jojoba y girasol, además de escualano, pensada para dejar una sensación confortable. Puede usarse solo o sobre labial; confirma disponibilidad del tono Litchi Honey.";Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B89;;Activo;Sí;Beauty Care;Maquillaje / labios;;Lip Gloss Destiny;Destiny by La Segura;29000;Disponible;Lip Gloss Destiny by La Segura con brillo intenso y acabado luminoso. Su textura ligera ayuda a mantener los labios con una sensación cómoda e hidratante, sin acabado pesado. Puede usarse solo o sobre el labial favorito y está disponible en seis tonos.;Unidad;Berry Fondue, Tropical Lust, Sangria Kiss, Velvet Cherry, Litchi Honey y Fairy Dust;Nuevo ingreso;maquillaje_de_labios;lip_gloss_destiny;./assets/productos/BEAUTY_CARE/maquillaje_de_labios/lip_gloss_destiny/lip_gloss_destiny_0.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/lip_gloss_destiny/lip_gloss_destiny_1.webp|./assets/productos/BEAUTY_CARE/maquillaje_de_labios/lip_gloss_destiny/lip_gloss_destiny_2.webp;Sí;3
B62;;Activo;Sí;Beauty Care;Cuidado corporal / bronceador;;Bronceador Coco;D'Luchi;45000;Disponible / por confirmar;Bronceador Coco de D'Luchi, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_bronceador_coco;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_coco/d_luchi_bronceador_coco_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_coco/d_luchi_bronceador_coco_1.webp;Sí;2
B66;;Activo;Sí;Beauty Care;Cuidado corporal / bronceador;;Bronceador en Gel;D'Luchi;50000;Disponible / por confirmar;Bronceador en Gel de D'Luchi, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_bronceador_en_gel;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_en_gel/d_luchi_bronceador_en_gel_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_en_gel/d_luchi_bronceador_en_gel_1.webp;Sí;2
B61;;Activo;Sí;Beauty Care;Cuidado corporal / bronceador;;Bronceador Zanahoria;D'Luchi;45000;Disponible / por confirmar;Bronceador Zanahoria de D'Luchi, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Producto confirmado;cuidado_corporal;d_luchi_bronceador_zanahoria;./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_zanahoria/d_luchi_bronceador_zanahoria_0.webp|./assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_zanahoria/d_luchi_bronceador_zanahoria_1.webp;Sí;2
